"sk_akreditasi","id_akreditasi","status_akreditasi","nilai_akreditasi","lembaga","created_date"
1,AK000001,C,2.83,BAN-PT,2025-12-06 21:36:41.553
2,AK000002,A,3.43,Lainnya,2025-12-06 21:36:41.553
3,AK000003,B,3.74,Lainnya,2025-12-06 21:36:41.553
4,AK000004,C,2.37,LAM Teknik,2025-12-06 21:36:41.553
5,AK000005,Unggul,3.37,LAM Teknik,2025-12-06 21:36:41.553
6,AK000006,A,2.71,BAN-PT,2025-12-06 21:36:41.553
7,AK000007,Unggul,3.96,Lainnya,2025-12-06 21:36:41.553
8,AK000008,Unggul,2.6,Lainnya,2025-12-06 21:36:41.553
9,AK000009,B,2.01,BAN-PT,2025-12-06 21:36:41.553
10,AK000010,B,3.03,Lainnya,2025-12-06 21:36:41.553
11,AK000011,C,2.3,Lainnya,2025-12-06 21:36:41.553
12,AK000012,Unggul,2.09,BAN-PT,2025-12-06 21:36:41.553
13,AK000013,B,3.4,LAM Teknik,2025-12-06 21:36:41.553
14,AK000014,B,3.46,LAM Teknik,2025-12-06 21:36:41.553
15,AK000015,Unggul,2.92,LAM Teknik,2025-12-06 21:36:41.553
16,AK000016,C,3.35,BAN-PT,2025-12-06 21:36:41.553
17,AK000017,Unggul,3.08,LAM Teknik,2025-12-06 21:36:41.553
18,AK000018,C,3.26,BAN-PT,2025-12-06 21:36:41.553
19,AK000019,C,3.19,BAN-PT,2025-12-06 21:36:41.553
20,AK000020,B,3.33,Lainnya,2025-12-06 21:36:41.553
21,AK000021,Unggul,2.4,Lainnya,2025-12-06 21:36:41.553
