"sk_anggaran","id_anggaran","kategori","keterangan","created_date"
1,AG000001,Operasional,Deskripsi anggaran 1,2025-12-06 21:36:41.553
2,AG000002,Hibah,Deskripsi anggaran 2,2025-12-06 21:36:41.553
3,AG000003,Hibah,Deskripsi anggaran 3,2025-12-06 21:36:41.553
4,AG000004,Operasional,Deskripsi anggaran 4,2025-12-06 21:36:41.553
5,AG000005,Beasiswa,Deskripsi anggaran 5,2025-12-06 21:36:41.553
6,AG000006,Operasional,Deskripsi anggaran 6,2025-12-06 21:36:41.553
7,AG000007,Operasional,Deskripsi anggaran 7,2025-12-06 21:36:41.553
8,AG000008,Beasiswa,Deskripsi anggaran 8,2025-12-06 21:36:41.553
9,AG000009,Penelitian,Deskripsi anggaran 9,2025-12-06 21:36:41.553
10,AG000010,Beasiswa,Deskripsi anggaran 10,2025-12-06 21:36:41.553
11,AG000011,Beasiswa,Deskripsi anggaran 11,2025-12-06 21:36:41.553
12,AG000012,Hibah,Deskripsi anggaran 12,2025-12-06 21:36:41.553
13,AG000013,Penelitian,Deskripsi anggaran 13,2025-12-06 21:36:41.553
14,AG000014,Beasiswa,Deskripsi anggaran 14,2025-12-06 21:36:41.553
15,AG000015,Operasional,Deskripsi anggaran 15,2025-12-06 21:36:41.553
16,AG000016,Beasiswa,Deskripsi anggaran 16,2025-12-06 21:36:41.553
17,AG000017,Hibah,Deskripsi anggaran 17,2025-12-06 21:36:41.553
18,AG000018,Beasiswa,Deskripsi anggaran 18,2025-12-06 21:36:41.553
19,AG000019,Operasional,Deskripsi anggaran 19,2025-12-06 21:36:41.553
20,AG000020,Penelitian,Deskripsi anggaran 20,2025-12-06 21:36:41.553
21,AG000021,Hibah,Deskripsi anggaran 21,2025-12-06 21:36:41.553
22,AG000022,Penelitian,Deskripsi anggaran 22,2025-12-06 21:36:41.553
23,AG000023,Hibah,Deskripsi anggaran 23,2025-12-06 21:36:41.553
24,AG000024,Operasional,Deskripsi anggaran 24,2025-12-06 21:36:41.553
25,AG000025,Hibah,Deskripsi anggaran 25,2025-12-06 21:36:41.553
26,AG000026,Penelitian,Deskripsi anggaran 26,2025-12-06 21:36:41.553
27,AG000027,Penelitian,Deskripsi anggaran 27,2025-12-06 21:36:41.553
28,AG000028,Beasiswa,Deskripsi anggaran 28,2025-12-06 21:36:41.553
29,AG000029,Penelitian,Deskripsi anggaran 29,2025-12-06 21:36:41.553
30,AG000030,Beasiswa,Deskripsi anggaran 30,2025-12-06 21:36:41.553
31,AG000031,Penelitian,Deskripsi anggaran 31,2025-12-06 21:36:41.553
32,AG000032,Beasiswa,Deskripsi anggaran 32,2025-12-06 21:36:41.553
33,AG000033,Operasional,Deskripsi anggaran 33,2025-12-06 21:36:41.553
34,AG000034,Beasiswa,Deskripsi anggaran 34,2025-12-06 21:36:41.553
35,AG000035,Penelitian,Deskripsi anggaran 35,2025-12-06 21:36:41.553
36,AG000036,Operasional,Deskripsi anggaran 36,2025-12-06 21:36:41.553
37,AG000037,Hibah,Deskripsi anggaran 37,2025-12-06 21:36:41.553
38,AG000038,Penelitian,Deskripsi anggaran 38,2025-12-06 21:36:41.553
39,AG000039,Beasiswa,Deskripsi anggaran 39,2025-12-06 21:36:41.553
40,AG000040,Hibah,Deskripsi anggaran 40,2025-12-06 21:36:41.553
41,AG000041,Beasiswa,Deskripsi anggaran 41,2025-12-06 21:36:41.553
42,AG000042,Hibah,Deskripsi anggaran 42,2025-12-06 21:36:41.553
43,AG000043,Operasional,Deskripsi anggaran 43,2025-12-06 21:36:41.553
44,AG000044,Penelitian,Deskripsi anggaran 44,2025-12-06 21:36:41.553
45,AG000045,Operasional,Deskripsi anggaran 45,2025-12-06 21:36:41.553
46,AG000046,Penelitian,Deskripsi anggaran 46,2025-12-06 21:36:41.553
47,AG000047,Hibah,Deskripsi anggaran 47,2025-12-06 21:36:41.553
48,AG000048,Operasional,Deskripsi anggaran 48,2025-12-06 21:36:41.553
49,AG000049,Penelitian,Deskripsi anggaran 49,2025-12-06 21:36:41.553
50,AG000050,Hibah,Deskripsi anggaran 50,2025-12-06 21:36:41.553
51,AG000051,Operasional,Deskripsi anggaran 51,2025-12-06 21:36:41.553
52,AG000052,Operasional,Deskripsi anggaran 52,2025-12-06 21:36:41.553
53,AG000053,Operasional,Deskripsi anggaran 53,2025-12-06 21:36:41.553
54,AG000054,Operasional,Deskripsi anggaran 54,2025-12-06 21:36:41.553
55,AG000055,Beasiswa,Deskripsi anggaran 55,2025-12-06 21:36:41.553
56,AG000056,Hibah,Deskripsi anggaran 56,2025-12-06 21:36:41.553
57,AG000057,Beasiswa,Deskripsi anggaran 57,2025-12-06 21:36:41.553
58,AG000058,Hibah,Deskripsi anggaran 58,2025-12-06 21:36:41.553
59,AG000059,Hibah,Deskripsi anggaran 59,2025-12-06 21:36:41.553
60,AG000060,Hibah,Deskripsi anggaran 60,2025-12-06 21:36:41.553
61,AG000061,Penelitian,Deskripsi anggaran 61,2025-12-06 21:36:41.553
62,AG000062,Hibah,Deskripsi anggaran 62,2025-12-06 21:36:41.553
63,AG000063,Operasional,Deskripsi anggaran 63,2025-12-06 21:36:41.553
64,AG000064,Beasiswa,Deskripsi anggaran 64,2025-12-06 21:36:41.553
65,AG000065,Operasional,Deskripsi anggaran 65,2025-12-06 21:36:41.553
66,AG000066,Operasional,Deskripsi anggaran 66,2025-12-06 21:36:41.553
67,AG000067,Beasiswa,Deskripsi anggaran 67,2025-12-06 21:36:41.553
68,AG000068,Operasional,Deskripsi anggaran 68,2025-12-06 21:36:41.553
69,AG000069,Penelitian,Deskripsi anggaran 69,2025-12-06 21:36:41.553
70,AG000070,Operasional,Deskripsi anggaran 70,2025-12-06 21:36:41.553
71,AG000071,Operasional,Deskripsi anggaran 71,2025-12-06 21:36:41.553
72,AG000072,Beasiswa,Deskripsi anggaran 72,2025-12-06 21:36:41.553
73,AG000073,Operasional,Deskripsi anggaran 73,2025-12-06 21:36:41.553
74,AG000074,Beasiswa,Deskripsi anggaran 74,2025-12-06 21:36:41.553
75,AG000075,Hibah,Deskripsi anggaran 75,2025-12-06 21:36:41.553
76,AG000076,Hibah,Deskripsi anggaran 76,2025-12-06 21:36:41.553
77,AG000077,Penelitian,Deskripsi anggaran 77,2025-12-06 21:36:41.553
78,AG000078,Beasiswa,Deskripsi anggaran 78,2025-12-06 21:36:41.553
79,AG000079,Beasiswa,Deskripsi anggaran 79,2025-12-06 21:36:41.553
80,AG000080,Beasiswa,Deskripsi anggaran 80,2025-12-06 21:36:41.553
81,AG000081,Penelitian,Deskripsi anggaran 81,2025-12-06 21:36:41.553
82,AG000082,Penelitian,Deskripsi anggaran 82,2025-12-06 21:36:41.553
83,AG000083,Operasional,Deskripsi anggaran 83,2025-12-06 21:36:41.553
84,AG000084,Beasiswa,Deskripsi anggaran 84,2025-12-06 21:36:41.553
85,AG000085,Penelitian,Deskripsi anggaran 85,2025-12-06 21:36:41.553
86,AG000086,Hibah,Deskripsi anggaran 86,2025-12-06 21:36:41.553
87,AG000087,Hibah,Deskripsi anggaran 87,2025-12-06 21:36:41.553
88,AG000088,Beasiswa,Deskripsi anggaran 88,2025-12-06 21:36:41.553
89,AG000089,Hibah,Deskripsi anggaran 89,2025-12-06 21:36:41.553
90,AG000090,Operasional,Deskripsi anggaran 90,2025-12-06 21:36:41.553
91,AG000091,Operasional,Deskripsi anggaran 91,2025-12-06 21:36:41.553
