"sk_prestasi","id_prestasi","nama_prestasi","jenis_prestasi","tingkat","penyelenggara","created_date"
1,PR000001,Kompetisi 1,Akademik,Lokal,Himpunan,2025-12-06 21:36:41.553
2,PR000002,Kompetisi 2,Non-Akademik,Internasional,Himpunan,2025-12-06 21:36:41.553
3,PR000003,Kompetisi 3,Non-Akademik,Internasional,Universitas,2025-12-06 21:36:41.553
4,PR000004,Kompetisi 4,Non-Akademik,Lokal,Komunitas,2025-12-06 21:36:41.553
5,PR000005,Kompetisi 5,Non-Akademik,Nasional,Komunitas,2025-12-06 21:36:41.553
6,PR000006,Kompetisi 6,Non-Akademik,Nasional,Kementerian,2025-12-06 21:36:41.553
7,PR000007,Kompetisi 7,Non-Akademik,Lokal,Himpunan,2025-12-06 21:36:41.553
8,PR000008,Kompetisi 8,Non-Akademik,Internasional,Universitas,2025-12-06 21:36:41.553
9,PR000009,Kompetisi 9,Akademik,Nasional,Universitas,2025-12-06 21:36:41.553
10,PR000010,Kompetisi 10,Non-Akademik,Nasional,Universitas,2025-12-06 21:36:41.553
11,PR000011,Kompetisi 11,Non-Akademik,Internasional,Kementerian,2025-12-06 21:36:41.553
12,PR000012,Kompetisi 12,Akademik,Internasional,Universitas,2025-12-06 21:36:41.553
13,PR000013,Kompetisi 13,Akademik,Internasional,Kementerian,2025-12-06 21:36:41.553
14,PR000014,Kompetisi 14,Akademik,Internasional,Kementerian,2025-12-06 21:36:41.553
15,PR000015,Kompetisi 15,Akademik,Lokal,Kementerian,2025-12-06 21:36:41.553
16,PR000016,Kompetisi 16,Non-Akademik,Internasional,Kementerian,2025-12-06 21:36:41.553
17,PR000017,Kompetisi 17,Non-Akademik,Nasional,Universitas,2025-12-06 21:36:41.553
18,PR000018,Kompetisi 18,Akademik,Internasional,Universitas,2025-12-06 21:36:41.553
19,PR000019,Kompetisi 19,Akademik,Internasional,Komunitas,2025-12-06 21:36:41.553
20,PR000020,Kompetisi 20,Non-Akademik,Lokal,Universitas,2025-12-06 21:36:41.553
21,PR000021,Kompetisi 21,Akademik,Lokal,Himpunan,2025-12-06 21:36:41.553
22,PR000022,Kompetisi 22,Akademik,Internasional,Himpunan,2025-12-06 21:36:41.553
23,PR000023,Kompetisi 23,Non-Akademik,Lokal,Kementerian,2025-12-06 21:36:41.553
24,PR000024,Kompetisi 24,Akademik,Lokal,Kementerian,2025-12-06 21:36:41.553
25,PR000025,Kompetisi 25,Non-Akademik,Lokal,Kementerian,2025-12-06 21:36:41.553
26,PR000026,Kompetisi 26,Akademik,Lokal,Komunitas,2025-12-06 21:36:41.553
27,PR000027,Kompetisi 27,Non-Akademik,Internasional,Kementerian,2025-12-06 21:36:41.553
28,PR000028,Kompetisi 28,Akademik,Lokal,Komunitas,2025-12-06 21:36:41.553
29,PR000029,Kompetisi 29,Non-Akademik,Lokal,Kementerian,2025-12-06 21:36:41.553
30,PR000030,Kompetisi 30,Non-Akademik,Nasional,Himpunan,2025-12-06 21:36:41.553
31,PR000031,Kompetisi 31,Akademik,Internasional,Kementerian,2025-12-06 21:36:41.553
32,PR000032,Kompetisi 32,Akademik,Lokal,Universitas,2025-12-06 21:36:41.553
33,PR000033,Kompetisi 33,Akademik,Nasional,Kementerian,2025-12-06 21:36:41.553
34,PR000034,Kompetisi 34,Akademik,Lokal,Universitas,2025-12-06 21:36:41.553
35,PR000035,Kompetisi 35,Akademik,Internasional,Universitas,2025-12-06 21:36:41.553
36,PR000036,Kompetisi 36,Non-Akademik,Nasional,Universitas,2025-12-06 21:36:41.553
37,PR000037,Kompetisi 37,Non-Akademik,Nasional,Universitas,2025-12-06 21:36:41.553
38,PR000038,Kompetisi 38,Non-Akademik,Internasional,Komunitas,2025-12-06 21:36:41.553
39,PR000039,Kompetisi 39,Non-Akademik,Nasional,Komunitas,2025-12-06 21:36:41.553
40,PR000040,Kompetisi 40,Akademik,Nasional,Kementerian,2025-12-06 21:36:41.553
41,PR000041,Kompetisi 41,Non-Akademik,Lokal,Kementerian,2025-12-06 21:36:41.553
42,PR000042,Kompetisi 42,Non-Akademik,Nasional,Komunitas,2025-12-06 21:36:41.553
43,PR000043,Kompetisi 43,Non-Akademik,Internasional,Kementerian,2025-12-06 21:36:41.553
44,PR000044,Kompetisi 44,Akademik,Lokal,Kementerian,2025-12-06 21:36:41.553
45,PR000045,Kompetisi 45,Akademik,Nasional,Komunitas,2025-12-06 21:36:41.553
46,PR000046,Kompetisi 46,Non-Akademik,Lokal,Komunitas,2025-12-06 21:36:41.553
47,PR000047,Kompetisi 47,Akademik,Internasional,Kementerian,2025-12-06 21:36:41.553
48,PR000048,Kompetisi 48,Non-Akademik,Nasional,Komunitas,2025-12-06 21:36:41.553
49,PR000049,Kompetisi 49,Akademik,Internasional,Himpunan,2025-12-06 21:36:41.553
50,PR000050,Kompetisi 50,Akademik,Internasional,Universitas,2025-12-06 21:36:41.553
51,PR000051,Kompetisi 51,Akademik,Nasional,Universitas,2025-12-06 21:36:41.553
52,PR000052,Kompetisi 52,Non-Akademik,Nasional,Himpunan,2025-12-06 21:36:41.553
53,PR000053,Kompetisi 53,Akademik,Lokal,Himpunan,2025-12-06 21:36:41.553
54,PR000054,Kompetisi 54,Non-Akademik,Internasional,Kementerian,2025-12-06 21:36:41.553
55,PR000055,Kompetisi 55,Akademik,Nasional,Kementerian,2025-12-06 21:36:41.553
56,PR000056,Kompetisi 56,Non-Akademik,Internasional,Universitas,2025-12-06 21:36:41.553
57,PR000057,Kompetisi 57,Non-Akademik,Nasional,Kementerian,2025-12-06 21:36:41.553
58,PR000058,Kompetisi 58,Non-Akademik,Internasional,Universitas,2025-12-06 21:36:41.553
59,PR000059,Kompetisi 59,Non-Akademik,Lokal,Kementerian,2025-12-06 21:36:41.553
60,PR000060,Kompetisi 60,Non-Akademik,Internasional,Kementerian,2025-12-06 21:36:41.553
61,PR000061,Kompetisi 61,Non-Akademik,Nasional,Universitas,2025-12-06 21:36:41.553
62,PR000062,Kompetisi 62,Akademik,Lokal,Himpunan,2025-12-06 21:36:41.553
63,PR000063,Kompetisi 63,Non-Akademik,Lokal,Himpunan,2025-12-06 21:36:41.553
64,PR000064,Kompetisi 64,Akademik,Nasional,Kementerian,2025-12-06 21:36:41.553
65,PR000065,Kompetisi 65,Non-Akademik,Lokal,Himpunan,2025-12-06 21:36:41.553
66,PR000066,Kompetisi 66,Non-Akademik,Internasional,Kementerian,2025-12-06 21:36:41.553
67,PR000067,Kompetisi 67,Akademik,Internasional,Komunitas,2025-12-06 21:36:41.553
68,PR000068,Kompetisi 68,Non-Akademik,Nasional,Komunitas,2025-12-06 21:36:41.553
69,PR000069,Kompetisi 69,Akademik,Internasional,Komunitas,2025-12-06 21:36:41.553
70,PR000070,Kompetisi 70,Non-Akademik,Nasional,Himpunan,2025-12-06 21:36:41.553
71,PR000071,Kompetisi 71,Akademik,Lokal,Himpunan,2025-12-06 21:36:41.553
72,PR000072,Kompetisi 72,Akademik,Internasional,Universitas,2025-12-06 21:36:41.553
73,PR000073,Kompetisi 73,Non-Akademik,Nasional,Himpunan,2025-12-06 21:36:41.553
74,PR000074,Kompetisi 74,Akademik,Internasional,Kementerian,2025-12-06 21:36:41.553
75,PR000075,Kompetisi 75,Akademik,Lokal,Universitas,2025-12-06 21:36:41.553
76,PR000076,Kompetisi 76,Non-Akademik,Lokal,Himpunan,2025-12-06 21:36:41.553
77,PR000077,Kompetisi 77,Non-Akademik,Internasional,Universitas,2025-12-06 21:36:41.553
78,PR000078,Kompetisi 78,Non-Akademik,Lokal,Himpunan,2025-12-06 21:36:41.553
79,PR000079,Kompetisi 79,Akademik,Nasional,Kementerian,2025-12-06 21:36:41.553
80,PR000080,Kompetisi 80,Akademik,Internasional,Komunitas,2025-12-06 21:36:41.553
81,PR000081,Kompetisi 81,Akademik,Internasional,Komunitas,2025-12-06 21:36:41.553
82,PR000082,Kompetisi 82,Non-Akademik,Lokal,Kementerian,2025-12-06 21:36:41.553
83,PR000083,Kompetisi 83,Non-Akademik,Nasional,Universitas,2025-12-06 21:36:41.553
84,PR000084,Kompetisi 84,Akademik,Internasional,Komunitas,2025-12-06 21:36:41.553
85,PR000085,Kompetisi 85,Non-Akademik,Internasional,Himpunan,2025-12-06 21:36:41.553
86,PR000086,Kompetisi 86,Non-Akademik,Lokal,Himpunan,2025-12-06 21:36:41.553
87,PR000087,Kompetisi 87,Non-Akademik,Lokal,Universitas,2025-12-06 21:36:41.553
88,PR000088,Kompetisi 88,Non-Akademik,Nasional,Universitas,2025-12-06 21:36:41.553
89,PR000089,Kompetisi 89,Non-Akademik,Nasional,Kementerian,2025-12-06 21:36:41.553
90,PR000090,Kompetisi 90,Akademik,Lokal,Komunitas,2025-12-06 21:36:41.553
91,PR000091,Kompetisi 91,Akademik,Nasional,Universitas,2025-12-06 21:36:41.553
92,PR000092,Kompetisi 92,Non-Akademik,Lokal,Komunitas,2025-12-06 21:36:41.553
93,PR000093,Kompetisi 93,Non-Akademik,Internasional,Komunitas,2025-12-06 21:36:41.553
94,PR000094,Kompetisi 94,Akademik,Lokal,Himpunan,2025-12-06 21:36:41.553
95,PR000095,Kompetisi 95,Akademik,Lokal,Universitas,2025-12-06 21:36:41.553
96,PR000096,Kompetisi 96,Akademik,Lokal,Kementerian,2025-12-06 21:36:41.553
97,PR000097,Kompetisi 97,Akademik,Internasional,Universitas,2025-12-06 21:36:41.553
98,PR000098,Kompetisi 98,Akademik,Nasional,Komunitas,2025-12-06 21:36:41.553
99,PR000099,Kompetisi 99,Non-Akademik,Nasional,Himpunan,2025-12-06 21:36:41.553
100,PR000100,Kompetisi 100,Akademik,Nasional,Universitas,2025-12-06 21:36:41.553
101,PR000101,Kompetisi 101,Akademik,Lokal,Universitas,2025-12-06 21:36:41.553
102,PR000102,Kompetisi 102,Akademik,Lokal,Universitas,2025-12-06 21:36:41.553
103,PR000103,Kompetisi 103,Akademik,Nasional,Kementerian,2025-12-06 21:36:41.553
104,PR000104,Kompetisi 104,Non-Akademik,Internasional,Kementerian,2025-12-06 21:36:41.553
105,PR000105,Kompetisi 105,Non-Akademik,Internasional,Kementerian,2025-12-06 21:36:41.553
