"sk_prodi","id_prodi","nama_prodi","jenjang","fakultas","created_date","updated_date"
1,P01,Rekayasa Instrumentasi dan Automasi,S1,FTI,2025-12-06 21:36:41.513,2025-12-06 21:36:41.513
2,P02,Rekayasa Kehutanan,S1,FTI,2025-12-06 21:36:41.513,2025-12-06 21:36:41.513
3,P03,Rekayasa Keolahragaan,S1,FTI,2025-12-06 21:36:41.513,2025-12-06 21:36:41.513
4,P04,Rekayasa Kosmetik,S1,FTI,2025-12-06 21:36:41.513,2025-12-06 21:36:41.513
5,P05,Rekayasa Minyak dan Gas,S1,FTI,2025-12-06 21:36:41.513,2025-12-06 21:36:41.513
6,P06,Teknik Biomedis,S1,FTI,2025-12-06 21:36:41.513,2025-12-06 21:36:41.513
7,P07,Teknik Biosistem,S1,FTI,2025-12-06 21:36:41.513,2025-12-06 21:36:41.513
8,P08,Teknik Elektro,S1,FTI,2025-12-06 21:36:41.513,2025-12-06 21:36:41.513
9,P09,Teknik Fisika,S1,FTI,2025-12-06 21:36:41.513,2025-12-06 21:36:41.513
10,P10,Teknik Geofisika,S1,FTI,2025-12-06 21:36:41.513,2025-12-06 21:36:41.513
11,P11,Teknik Geologi,S1,FTI,2025-12-06 21:36:41.513,2025-12-06 21:36:41.513
12,P12,Teknik Industri,S1,FTI,2025-12-06 21:36:41.513,2025-12-06 21:36:41.513
13,P13,Teknik Informatika,S1,FTI,2025-12-06 21:36:41.513,2025-12-06 21:36:41.513
14,P14,Teknik Kimia,S1,FTI,2025-12-06 21:36:41.513,2025-12-06 21:36:41.513
15,P15,Teknik Material,S1,FTI,2025-12-06 21:36:41.513,2025-12-06 21:36:41.513
16,P16,Teknik Mesin,S1,FTI,2025-12-06 21:36:41.513,2025-12-06 21:36:41.513
17,P17,Teknik Pertambangan,S1,FTI,2025-12-06 21:36:41.513,2025-12-06 21:36:41.513
18,P18,Teknik Sistem Energi,S1,FTI,2025-12-06 21:36:41.513,2025-12-06 21:36:41.513
19,P19,Teknik Telekomunikasi,S1,FTI,2025-12-06 21:36:41.513,2025-12-06 21:36:41.513
20,P20,Teknik Industri Pertanian,S1,FTI,2025-12-06 21:36:41.513,2025-12-06 21:36:41.513
21,P21,Teknologi Pangan,S1,FTI,2025-12-06 21:36:41.513,2025-12-06 21:36:41.513
