"sk_waktu","tanggal","tahun","semester","bulan","nama_bulan"
20200101,2020-01-01 00:00:00.000,2020,Genap,1,January
20200102,2020-01-02 00:00:00.000,2020,Genap,1,January
20200103,2020-01-03 00:00:00.000,2020,Genap,1,January
20200104,2020-01-04 00:00:00.000,2020,Genap,1,January
20200105,2020-01-05 00:00:00.000,2020,Genap,1,January
20200106,2020-01-06 00:00:00.000,2020,Genap,1,January
20200107,2020-01-07 00:00:00.000,2020,Genap,1,January
20200108,2020-01-08 00:00:00.000,2020,Genap,1,January
20200109,2020-01-09 00:00:00.000,2020,Genap,1,January
20200110,2020-01-10 00:00:00.000,2020,Genap,1,January
20200111,2020-01-11 00:00:00.000,2020,Genap,1,January
20200112,2020-01-12 00:00:00.000,2020,Genap,1,January
20200113,2020-01-13 00:00:00.000,2020,Genap,1,January
20200114,2020-01-14 00:00:00.000,2020,Genap,1,January
20200115,2020-01-15 00:00:00.000,2020,Genap,1,January
20200116,2020-01-16 00:00:00.000,2020,Genap,1,January
20200117,2020-01-17 00:00:00.000,2020,Genap,1,January
20200118,2020-01-18 00:00:00.000,2020,Genap,1,January
20200119,2020-01-19 00:00:00.000,2020,Genap,1,January
20200120,2020-01-20 00:00:00.000,2020,Genap,1,January
20200121,2020-01-21 00:00:00.000,2020,Genap,1,January
20200122,2020-01-22 00:00:00.000,2020,Genap,1,January
20200123,2020-01-23 00:00:00.000,2020,Genap,1,January
20200124,2020-01-24 00:00:00.000,2020,Genap,1,January
20200125,2020-01-25 00:00:00.000,2020,Genap,1,January
20200126,2020-01-26 00:00:00.000,2020,Genap,1,January
20200127,2020-01-27 00:00:00.000,2020,Genap,1,January
20200128,2020-01-28 00:00:00.000,2020,Genap,1,January
20200129,2020-01-29 00:00:00.000,2020,Genap,1,January
20200130,2020-01-30 00:00:00.000,2020,Genap,1,January
20200131,2020-01-31 00:00:00.000,2020,Genap,1,January
20200201,2020-02-01 00:00:00.000,2020,Genap,2,February
20200202,2020-02-02 00:00:00.000,2020,Genap,2,February
20200203,2020-02-03 00:00:00.000,2020,Genap,2,February
20200204,2020-02-04 00:00:00.000,2020,Genap,2,February
20200205,2020-02-05 00:00:00.000,2020,Genap,2,February
20200206,2020-02-06 00:00:00.000,2020,Genap,2,February
20200207,2020-02-07 00:00:00.000,2020,Genap,2,February
20200208,2020-02-08 00:00:00.000,2020,Genap,2,February
20200209,2020-02-09 00:00:00.000,2020,Genap,2,February
20200210,2020-02-10 00:00:00.000,2020,Genap,2,February
20200211,2020-02-11 00:00:00.000,2020,Genap,2,February
20200212,2020-02-12 00:00:00.000,2020,Genap,2,February
20200213,2020-02-13 00:00:00.000,2020,Genap,2,February
20200214,2020-02-14 00:00:00.000,2020,Genap,2,February
20200215,2020-02-15 00:00:00.000,2020,Genap,2,February
20200216,2020-02-16 00:00:00.000,2020,Genap,2,February
20200217,2020-02-17 00:00:00.000,2020,Genap,2,February
20200218,2020-02-18 00:00:00.000,2020,Genap,2,February
20200219,2020-02-19 00:00:00.000,2020,Genap,2,February
20200220,2020-02-20 00:00:00.000,2020,Genap,2,February
20200221,2020-02-21 00:00:00.000,2020,Genap,2,February
20200222,2020-02-22 00:00:00.000,2020,Genap,2,February
20200223,2020-02-23 00:00:00.000,2020,Genap,2,February
20200224,2020-02-24 00:00:00.000,2020,Genap,2,February
20200225,2020-02-25 00:00:00.000,2020,Genap,2,February
20200226,2020-02-26 00:00:00.000,2020,Genap,2,February
20200227,2020-02-27 00:00:00.000,2020,Genap,2,February
20200228,2020-02-28 00:00:00.000,2020,Genap,2,February
