"sk_prodi","sk_waktu","jumlah_mahasiswa_baru","rata_rata_ipk","created_date"
1,20200708,1143,3.36,2025-12-06 21:36:41.553
2,20200211,769,3.25,2025-12-06 21:36:41.553
3,20200110,288,3.21,2025-12-06 21:36:41.553
4,20200116,232,3.52,2025-12-06 21:36:41.553
5,20200820,688,2.75,2025-12-06 21:36:41.553
6,20200220,470,3.3,2025-12-06 21:36:41.553
7,20200212,738,2.77,2025-12-06 21:36:41.553
8,20200623,823,3.32,2025-12-06 21:36:41.553
9,20200409,719,3.47,2025-12-06 21:36:41.553
10,20201202,439,3.11,2025-12-06 21:36:41.553
11,20200809,585,2.74,2025-12-06 21:36:41.553
12,20200507,460,2.57,2025-12-06 21:36:41.553
13,20200331,1036,3.02,2025-12-06 21:36:41.553
14,20200515,724,3.41,2025-12-06 21:36:41.553
15,20200716,697,3.25,2025-12-06 21:36:41.553
16,20200319,577,2.93,2025-12-06 21:36:41.553
17,20200912,785,2.92,2025-12-06 21:36:41.553
18,20201103,576,2.95,2025-12-06 21:36:41.553
19,20200202,272,2.82,2025-12-06 21:36:41.553
20,20200716,524,3.45,2025-12-06 21:36:41.553
21,20201111,439,3.26,2025-12-06 21:36:41.553
1,20210114,916,3.09,2025-12-06 21:36:41.553
2,20211112,267,2.66,2025-12-06 21:36:41.553
3,20210703,848,3.3,2025-12-06 21:36:41.553
4,20211018,817,3.14,2025-12-06 21:36:41.553
5,20210713,880,2.91,2025-12-06 21:36:41.553
6,20210205,300,3.07,2025-12-06 21:36:41.553
7,20210818,990,3.22,2025-12-06 21:36:41.553
8,20210321,949,3.11,2025-12-06 21:36:41.553
9,20210122,564,3.04,2025-12-06 21:36:41.553
10,20211210,949,3.18,2025-12-06 21:36:41.553
11,20210111,828,3.5,2025-12-06 21:36:41.553
12,20210922,723,3.18,2025-12-06 21:36:41.553
13,20210813,342,2.7,2025-12-06 21:36:41.553
14,20210223,223,2.93,2025-12-06 21:36:41.553
15,20210315,384,3.31,2025-12-06 21:36:41.553
16,20210711,1138,3.09,2025-12-06 21:36:41.553
17,20211027,545,3.06,2025-12-06 21:36:41.553
18,20210613,979,3.37,2025-12-06 21:36:41.553
19,20211230,703,3.48,2025-12-06 21:36:41.553
20,20210730,1172,2.79,2025-12-06 21:36:41.553
21,20211122,497,3.29,2025-12-06 21:36:41.553
1,20220704,337,3.36,2025-12-06 21:36:41.553
2,20220227,561,3.54,2025-12-06 21:36:41.553
3,20220307,627,3.37,2025-12-06 21:36:41.553
4,20220415,288,2.45,2025-12-06 21:36:41.553
5,20220330,1055,2.75,2025-12-06 21:36:41.553
6,20220413,422,3.13,2025-12-06 21:36:41.553
7,20220620,744,2.67,2025-12-06 21:36:41.553
8,20220328,780,3.67,2025-12-06 21:36:41.553
9,20220126,612,3.24,2025-12-06 21:36:41.553
10,20221022,459,3.29,2025-12-06 21:36:41.553
11,20221110,503,3.16,2025-12-06 21:36:41.553
12,20220225,1006,3.05,2025-12-06 21:36:41.553
13,20220322,1195,3.23,2025-12-06 21:36:41.553
14,20220529,967,3.0,2025-12-06 21:36:41.553
15,20221008,544,2.79,2025-12-06 21:36:41.557
16,20220130,929,2.97,2025-12-06 21:36:41.557
17,20220819,558,3.24,2025-12-06 21:36:41.557
18,20220809,945,3.38,2025-12-06 21:36:41.557
19,20220314,598,3.02,2025-12-06 21:36:41.557
20,20220924,1143,2.84,2025-12-06 21:36:41.557
21,20220419,1059,2.99,2025-12-06 21:36:41.557
1,20230202,317,2.91,2025-12-06 21:36:41.557
2,20230512,450,3.52,2025-12-06 21:36:41.557
3,20230506,358,3.02,2025-12-06 21:36:41.557
4,20230608,994,3.32,2025-12-06 21:36:41.557
5,20230608,690,3.27,2025-12-06 21:36:41.557
6,20230906,556,3.14,2025-12-06 21:36:41.557
7,20231111,478,3.53,2025-12-06 21:36:41.557
8,20231221,1035,3.12,2025-12-06 21:36:41.557
9,20230509,659,3.12,2025-12-06 21:36:41.557
10,20230222,367,2.81,2025-12-06 21:36:41.557
11,20230328,1080,2.71,2025-12-06 21:36:41.557
12,20230530,448,2.19,2025-12-06 21:36:41.557
13,20231105,316,3.42,2025-12-06 21:36:41.557
14,20230710,856,3.16,2025-12-06 21:36:41.557
15,20230930,237,3.68,2025-12-06 21:36:41.557
16,20230716,724,3.25,2025-12-06 21:36:41.557
17,20230507,1073,3.04,2025-12-06 21:36:41.557
18,20231129,730,3.45,2025-12-06 21:36:41.557
19,20230716,319,2.92,2025-12-06 21:36:41.557
20,20230905,850,3.19,2025-12-06 21:36:41.557
21,20230213,795,2.99,2025-12-06 21:36:41.557
1,20240125,419,2.97,2025-12-06 21:36:41.557
2,20240102,401,2.95,2025-12-06 21:36:41.557
3,20241219,231,3.16,2025-12-06 21:36:41.557
4,20240711,871,3.38,2025-12-06 21:36:41.557
5,20241019,915,3.18,2025-12-06 21:36:41.557
6,20240809,1108,3.0,2025-12-06 21:36:41.557
7,20240630,970,3.2,2025-12-06 21:36:41.557
8,20241125,1033,3.21,2025-12-06 21:36:41.557
9,20240229,684,3.26,2025-12-06 21:36:41.557
10,20240211,901,3.2,2025-12-06 21:36:41.557
11,20240502,900,2.97,2025-12-06 21:36:41.557
12,20240603,906,3.39,2025-12-06 21:36:41.557
13,20240128,905,2.79,2025-12-06 21:36:41.557
14,20240404,981,3.22,2025-12-06 21:36:41.557
15,20240505,558,3.18,2025-12-06 21:36:41.557
16,20240112,676,3.27,2025-12-06 21:36:41.557
17,20241020,1153,3.12,2025-12-06 21:36:41.557
18,20240108,707,3.0,2025-12-06 21:36:41.557
19,20240503,571,3.74,2025-12-06 21:36:41.557
20,20240113,238,3.37,2025-12-06 21:36:41.557
21,20240324,220,3.17,2025-12-06 21:36:41.557
