"sk_akreditasi","sk_prodi","sk_waktu","created_date"
1,18,20230428,2025-12-06 21:36:41.560
2,5,20210426,2025-12-06 21:36:41.560
3,15,20240411,2025-12-06 21:36:41.560
4,3,20210627,2025-12-06 21:36:41.560
5,20,20240223,2025-12-06 21:36:41.560
6,3,20240201,2025-12-06 21:36:41.560
7,8,20230803,2025-12-06 21:36:41.560
8,14,20210321,2025-12-06 21:36:41.560
9,3,20230708,2025-12-06 21:36:41.560
10,15,20230516,2025-12-06 21:36:41.563
11,2,20211008,2025-12-06 21:36:41.563
12,17,20200620,2025-12-06 21:36:41.563
13,19,20200212,2025-12-06 21:36:41.563
14,18,20230113,2025-12-06 21:36:41.563
15,14,20220505,2025-12-06 21:36:41.563
16,12,20230726,2025-12-06 21:36:41.563
17,21,20230414,2025-12-06 21:36:41.563
18,2,20230209,2025-12-06 21:36:41.563
19,5,20201016,2025-12-06 21:36:41.563
20,10,20200603,2025-12-06 21:36:41.563
21,10,20200916,2025-12-06 21:36:41.563
