"sk_anggaran","sk_prodi","sk_waktu","total_anggaran","created_date"
1,5,20230629,134495507.12,2025-12-06 21:36:41.560
2,2,20241221,172491252.7,2025-12-06 21:36:41.560
3,21,20230116,64835528.95,2025-12-06 21:36:41.560
4,13,20220202,151951003.28,2025-12-06 21:36:41.560
5,20,20210306,167937474.24,2025-12-06 21:36:41.560
6,15,20210816,85965113.03,2025-12-06 21:36:41.560
7,16,20240118,194591190.05,2025-12-06 21:36:41.560
8,11,20231104,162060160.15,2025-12-06 21:36:41.560
9,9,20201009,59981422.27,2025-12-06 21:36:41.560
10,8,20201220,112830457.96,2025-12-06 21:36:41.560
11,12,20200502,63590452.4,2025-12-06 21:36:41.560
12,4,20211220,192803641.58,2025-12-06 21:36:41.560
13,10,20210913,163625795.14,2025-12-06 21:36:41.560
14,15,20230428,80481138.99,2025-12-06 21:36:41.560
15,13,20241103,105222534.87,2025-12-06 21:36:41.560
16,16,20201109,52201885.26,2025-12-06 21:36:41.560
17,6,20230103,50016534.77,2025-12-06 21:36:41.560
18,2,20230123,111242917.98,2025-12-06 21:36:41.560
19,15,20240110,71749364.83,2025-12-06 21:36:41.560
20,20,20230703,197121539.6,2025-12-06 21:36:41.560
21,16,20240606,186711092.47,2025-12-06 21:36:41.560
22,5,20220222,73598459.27,2025-12-06 21:36:41.560
23,10,20240331,152290067.48,2025-12-06 21:36:41.560
24,10,20200429,73517203.27,2025-12-06 21:36:41.560
25,18,20200603,118115798.49,2025-12-06 21:36:41.560
26,10,20241108,181421652.49,2025-12-06 21:36:41.560
27,14,20220318,108532070.89,2025-12-06 21:36:41.560
28,10,20221201,79115565.08,2025-12-06 21:36:41.560
29,17,20201020,99415210.75,2025-12-06 21:36:41.560
30,8,20220520,70286117.84,2025-12-06 21:36:41.560
31,14,20230509,152342360.69,2025-12-06 21:36:41.560
32,18,20210831,144882416.69,2025-12-06 21:36:41.560
33,6,20230125,186856233.73,2025-12-06 21:36:41.560
34,1,20200130,75960356.26,2025-12-06 21:36:41.560
35,21,20220412,88483775.94,2025-12-06 21:36:41.560
36,10,20240309,60583693.29,2025-12-06 21:36:41.560
37,1,20210411,196844864.97,2025-12-06 21:36:41.560
38,7,20241113,119080493.28,2025-12-06 21:36:41.560
39,14,20201208,58505771.9,2025-12-06 21:36:41.560
40,8,20220305,105093866.16,2025-12-06 21:36:41.560
41,20,20240218,143620723.74,2025-12-06 21:36:41.560
42,9,20241028,88872229.8,2025-12-06 21:36:41.560
43,11,20210606,189645558.27,2025-12-06 21:36:41.560
44,6,20211012,109061662.51,2025-12-06 21:36:41.560
45,19,20220422,190194009.88,2025-12-06 21:36:41.560
46,11,20210801,130232940.49,2025-12-06 21:36:41.560
47,8,20240801,100679741.55,2025-12-06 21:36:41.560
48,8,20240616,170723804.54,2025-12-06 21:36:41.560
49,1,20200615,68078275.97,2025-12-06 21:36:41.560
50,18,20240808,146861917.32,2025-12-06 21:36:41.560
51,16,20220127,191444824.35,2025-12-06 21:36:41.560
52,8,20230729,67478831.1,2025-12-06 21:36:41.560
53,11,20200622,124690784.53,2025-12-06 21:36:41.560
54,19,20200531,69984456.09,2025-12-06 21:36:41.560
55,6,20220717,140750857.97,2025-12-06 21:36:41.560
56,19,20220627,176546812.35,2025-12-06 21:36:41.560
57,7,20210918,161077519.93,2025-12-06 21:36:41.560
58,18,20201111,159054707.13,2025-12-06 21:36:41.560
59,7,20210707,74278199.54,2025-12-06 21:36:41.560
60,5,20240317,147182026.03,2025-12-06 21:36:41.560
61,12,20201009,69310071.41,2025-12-06 21:36:41.560
62,1,20200725,61102998.54,2025-12-06 21:36:41.560
63,17,20231107,58655070.42,2025-12-06 21:36:41.560
64,17,20200115,139758419.63,2025-12-06 21:36:41.560
65,1,20240103,172428659.41,2025-12-06 21:36:41.560
66,12,20210509,125167717.6,2025-12-06 21:36:41.560
67,7,20210528,157080956.79,2025-12-06 21:36:41.560
68,14,20230815,138554693.28,2025-12-06 21:36:41.560
69,11,20241202,159914852.16,2025-12-06 21:36:41.560
70,19,20210424,190435085.18,2025-12-06 21:36:41.560
71,15,20220817,64130160.2,2025-12-06 21:36:41.560
72,12,20240515,196052143.16,2025-12-06 21:36:41.560
