"sk_prodi","sk_waktu","jumlah_dosen","jumlah_mahasiswa","rasio_dosen_mahasiswa","created_date"
1,20200904,5,1139,0.004,2025-12-06 21:36:41.557
2,20200329,11,1884,0.006,2025-12-06 21:36:41.557
3,20200405,5,577,0.009,2025-12-06 21:36:41.557
4,20201009,12,822,0.015,2025-12-06 21:36:41.557
5,20200718,9,1252,0.007,2025-12-06 21:36:41.557
6,20200624,9,813,0.011,2025-12-06 21:36:41.557
7,20201214,8,1304,0.006,2025-12-06 21:36:41.557
8,20200521,8,1136,0.007,2025-12-06 21:36:41.557
9,20200815,6,884,0.007,2025-12-06 21:36:41.557
10,20200601,5,663,0.008,2025-12-06 21:36:41.557
11,20200613,9,1952,0.005,2025-12-06 21:36:41.557
12,20200719,6,1395,0.004,2025-12-06 21:36:41.557
13,20200321,9,1506,0.006,2025-12-06 21:36:41.557
14,20201007,9,1948,0.005,2025-12-06 21:36:41.557
15,20200330,5,696,0.007,2025-12-06 21:36:41.557
16,20200902,10,705,0.014,2025-12-06 21:36:41.557
17,20201014,7,777,0.009,2025-12-06 21:36:41.557
18,20200126,5,919,0.005,2025-12-06 21:36:41.557
19,20201208,5,712,0.007,2025-12-06 21:36:41.557
20,20200917,9,1561,0.006,2025-12-06 21:36:41.557
21,20201208,14,1999,0.007,2025-12-06 21:36:41.557
1,20210729,13,1970,0.007,2025-12-06 21:36:41.557
2,20210721,14,1743,0.008,2025-12-06 21:36:41.557
3,20211229,10,1472,0.007,2025-12-06 21:36:41.557
4,20210213,10,1430,0.007,2025-12-06 21:36:41.557
5,20210504,10,1748,0.006,2025-12-06 21:36:41.557
6,20211225,12,1495,0.008,2025-12-06 21:36:41.557
7,20210202,5,865,0.006,2025-12-06 21:36:41.557
8,20210530,8,976,0.008,2025-12-06 21:36:41.557
9,20210305,5,1145,0.004,2025-12-06 21:36:41.557
10,20211228,8,1436,0.006,2025-12-06 21:36:41.557
11,20210204,6,827,0.007,2025-12-06 21:36:41.557
12,20211112,5,618,0.008,2025-12-06 21:36:41.557
13,20210612,16,1628,0.01,2025-12-06 21:36:41.557
14,20210225,10,1413,0.007,2025-12-06 21:36:41.557
15,20210304,5,855,0.006,2025-12-06 21:36:41.557
16,20211229,11,1305,0.008,2025-12-06 21:36:41.557
17,20210114,8,1126,0.007,2025-12-06 21:36:41.557
18,20211223,6,1132,0.005,2025-12-06 21:36:41.557
19,20210804,12,1794,0.007,2025-12-06 21:36:41.557
20,20211018,10,926,0.011,2025-12-06 21:36:41.557
21,20210911,14,1883,0.007,2025-12-06 21:36:41.557
1,20220128,15,1665,0.009,2025-12-06 21:36:41.557
2,20221020,12,1760,0.007,2025-12-06 21:36:41.557
3,20220510,11,1686,0.007,2025-12-06 21:36:41.557
4,20221208,11,1006,0.011,2025-12-06 21:36:41.557
5,20221024,15,1861,0.008,2025-12-06 21:36:41.557
6,20220404,9,1330,0.007,2025-12-06 21:36:41.557
7,20220821,13,1363,0.01,2025-12-06 21:36:41.557
8,20220905,6,1240,0.005,2025-12-06 21:36:41.557
9,20221202,10,1876,0.005,2025-12-06 21:36:41.557
10,20221019,5,762,0.007,2025-12-06 21:36:41.557
11,20220327,5,1183,0.004,2025-12-06 21:36:41.557
12,20220118,17,1774,0.01,2025-12-06 21:36:41.557
13,20220705,13,1779,0.007,2025-12-06 21:36:41.557
14,20221227,5,614,0.008,2025-12-06 21:36:41.557
15,20220607,5,1333,0.004,2025-12-06 21:36:41.557
16,20220808,6,1664,0.004,2025-12-06 21:36:41.557
17,20220723,7,903,0.008,2025-12-06 21:36:41.557
18,20221106,7,1022,0.007,2025-12-06 21:36:41.557
19,20220107,6,1120,0.005,2025-12-06 21:36:41.557
20,20220801,9,1185,0.008,2025-12-06 21:36:41.557
21,20220904,11,1842,0.006,2025-12-06 21:36:41.557
1,20230921,9,1147,0.008,2025-12-06 21:36:41.557
2,20231229,7,1437,0.005,2025-12-06 21:36:41.557
3,20230915,5,592,0.008,2025-12-06 21:36:41.557
4,20231022,6,1040,0.006,2025-12-06 21:36:41.557
5,20230915,12,1642,0.007,2025-12-06 21:36:41.557
6,20230717,9,1712,0.005,2025-12-06 21:36:41.557
7,20230712,12,1762,0.007,2025-12-06 21:36:41.557
8,20230713,12,1548,0.008,2025-12-06 21:36:41.557
9,20231202,5,1563,0.003,2025-12-06 21:36:41.557
10,20231012,7,503,0.014,2025-12-06 21:36:41.557
11,20230107,5,724,0.007,2025-12-06 21:36:41.557
12,20231103,17,1737,0.01,2025-12-06 21:36:41.557
13,20230405,5,715,0.007,2025-12-06 21:36:41.557
14,20230803,7,543,0.013,2025-12-06 21:36:41.557
15,20230726,8,1525,0.005,2025-12-06 21:36:41.557
16,20230723,5,840,0.006,2025-12-06 21:36:41.557
17,20231107,11,1373,0.008,2025-12-06 21:36:41.557
18,20231226,8,1215,0.007,2025-12-06 21:36:41.557
19,20230214,10,1199,0.008,2025-12-06 21:36:41.557
20,20230425,6,1393,0.004,2025-12-06 21:36:41.557
21,20230306,12,1557,0.008,2025-12-06 21:36:41.557
1,20240425,12,1820,0.007,2025-12-06 21:36:41.557
2,20240402,6,1232,0.005,2025-12-06 21:36:41.557
3,20240805,5,856,0.006,2025-12-06 21:36:41.557
4,20241112,5,886,0.006,2025-12-06 21:36:41.557
5,20240701,10,1930,0.005,2025-12-06 21:36:41.557
6,20241110,13,1810,0.007,2025-12-06 21:36:41.557
7,20240212,6,1065,0.006,2025-12-06 21:36:41.557
8,20240302,5,1294,0.004,2025-12-06 21:36:41.557
9,20240627,5,801,0.006,2025-12-06 21:36:41.557
10,20240903,8,1341,0.006,2025-12-06 21:36:41.557
11,20240907,6,950,0.006,2025-12-06 21:36:41.557
12,20240528,9,1844,0.005,2025-12-06 21:36:41.557
13,20240618,5,1206,0.004,2025-12-06 21:36:41.557
14,20240616,5,593,0.008,2025-12-06 21:36:41.557
15,20240724,7,896,0.008,2025-12-06 21:36:41.557
16,20241024,8,963,0.008,2025-12-06 21:36:41.557
17,20240222,5,753,0.007,2025-12-06 21:36:41.557
18,20241227,7,1923,0.004,2025-12-06 21:36:41.557
19,20241106,5,1600,0.003,2025-12-06 21:36:41.557
20,20241006,9,1614,0.006,2025-12-06 21:36:41.557
21,20241122,12,1210,0.01,2025-12-06 21:36:41.557
