"sk_prestasi","sk_mahasiswa","sk_prodi","sk_waktu","created_date"
1,4919,14,20200408,2025-12-06 21:36:41.557
2,327,7,20200313,2025-12-06 21:36:41.557
3,994,17,20220913,2025-12-06 21:36:41.557
4,1767,12,20210619,2025-12-06 21:36:41.557
5,9373,13,20210810,2025-12-06 21:36:41.557
6,7020,14,20211212,2025-12-06 21:36:41.557
7,8291,5,20200807,2025-12-06 21:36:41.557
8,244,15,20240915,2025-12-06 21:36:41.557
9,9693,14,20200712,2025-12-06 21:36:41.557
10,5495,15,20240529,2025-12-06 21:36:41.557
11,7702,10,20230426,2025-12-06 21:36:41.557
12,7089,17,20200729,2025-12-06 21:36:41.557
13,1048,17,20201009,2025-12-06 21:36:41.557
14,9508,11,20201228,2025-12-06 21:36:41.557
15,6545,11,20210225,2025-12-06 21:36:41.557
16,7222,15,20211203,2025-12-06 21:36:41.557
17,9930,20,20241202,2025-12-06 21:36:41.557
18,8063,2,20240805,2025-12-06 21:36:41.557
19,5363,11,20201219,2025-12-06 21:36:41.557
20,9604,13,20240626,2025-12-06 21:36:41.557
21,4571,2,20210302,2025-12-06 21:36:41.557
22,2453,8,20240205,2025-12-06 21:36:41.557
23,9543,2,20230213,2025-12-06 21:36:41.557
24,4834,5,20210526,2025-12-06 21:36:41.557
25,3341,3,20230113,2025-12-06 21:36:41.557
26,3845,19,20240507,2025-12-06 21:36:41.557
27,9767,17,20220606,2025-12-06 21:36:41.557
28,8097,14,20200704,2025-12-06 21:36:41.557
29,5401,11,20210315,2025-12-06 21:36:41.557
30,1319,16,20230116,2025-12-06 21:36:41.557
31,3260,5,20220621,2025-12-06 21:36:41.557
32,10426,4,20220201,2025-12-06 21:36:41.557
33,8767,19,20211215,2025-12-06 21:36:41.557
34,1325,5,20211105,2025-12-06 21:36:41.557
35,9405,6,20221102,2025-12-06 21:36:41.557
36,1435,5,20200126,2025-12-06 21:36:41.557
37,7555,13,20201211,2025-12-06 21:36:41.557
38,9767,17,20230712,2025-12-06 21:36:41.557
39,9379,17,20200222,2025-12-06 21:36:41.557
40,8667,13,20220623,2025-12-06 21:36:41.557
41,7379,19,20221005,2025-12-06 21:36:41.557
42,2438,18,20241103,2025-12-06 21:36:41.557
43,4553,3,20221127,2025-12-06 21:36:41.557
44,3401,15,20200129,2025-12-06 21:36:41.557
45,3755,5,20230502,2025-12-06 21:36:41.557
46,159,15,20240326,2025-12-06 21:36:41.557
47,1838,1,20200104,2025-12-06 21:36:41.557
48,1026,1,20230513,2025-12-06 21:36:41.557
49,7247,4,20200526,2025-12-06 21:36:41.557
50,678,17,20241110,2025-12-06 21:36:41.557
51,4047,19,20220826,2025-12-06 21:36:41.557
52,2376,17,20241002,2025-12-06 21:36:41.557
53,6860,9,20220222,2025-12-06 21:36:41.557
54,4582,19,20240416,2025-12-06 21:36:41.557
55,246,18,20210613,2025-12-06 21:36:41.557
56,6671,2,20200101,2025-12-06 21:36:41.557
57,2185,5,20200530,2025-12-06 21:36:41.557
58,3252,15,20210820,2025-12-06 21:36:41.557
59,3052,13,20220707,2025-12-06 21:36:41.557
60,9321,19,20200724,2025-12-06 21:36:41.557
61,8890,12,20210306,2025-12-06 21:36:41.557
62,2420,15,20200725,2025-12-06 21:36:41.557
63,7397,6,20230310,2025-12-06 21:36:41.557
64,7310,10,20220725,2025-12-06 21:36:41.557
65,686,13,20230716,2025-12-06 21:36:41.557
66,5024,20,20221103,2025-12-06 21:36:41.557
67,9925,11,20210816,2025-12-06 21:36:41.557
68,1973,11,20220718,2025-12-06 21:36:41.557
69,8517,13,20220115,2025-12-06 21:36:41.557
70,4894,10,20211130,2025-12-06 21:36:41.557
71,2595,17,20220310,2025-12-06 21:36:41.557
72,2956,13,20200730,2025-12-06 21:36:41.557
73,9774,21,20240904,2025-12-06 21:36:41.557
74,9636,21,20210326,2025-12-06 21:36:41.557
75,4144,12,20240818,2025-12-06 21:36:41.557
76,8771,10,20210330,2025-12-06 21:36:41.557
77,9947,9,20210221,2025-12-06 21:36:41.557
78,3606,20,20230409,2025-12-06 21:36:41.557
79,8638,16,20230511,2025-12-06 21:36:41.557
80,2648,2,20220516,2025-12-06 21:36:41.557
81,6674,7,20240414,2025-12-06 21:36:41.557
82,3730,1,20211202,2025-12-06 21:36:41.557
83,1025,6,20220427,2025-12-06 21:36:41.557
84,7040,15,20200126,2025-12-06 21:36:41.557
85,4592,2,20210112,2025-12-06 21:36:41.557
86,508,9,20201206,2025-12-06 21:36:41.557
87,8873,7,20220222,2025-12-06 21:36:41.557
88,4877,4,20230905,2025-12-06 21:36:41.557
89,4224,16,20220317,2025-12-06 21:36:41.557
90,2194,12,20200217,2025-12-06 21:36:41.557
91,1223,3,20210312,2025-12-06 21:36:41.557
92,5020,18,20240401,2025-12-06 21:36:41.557
93,6547,17,20220728,2025-12-06 21:36:41.557
94,9264,2,20210129,2025-12-06 21:36:41.557
95,511,2,20230119,2025-12-06 21:36:41.557
96,6703,15,20231211,2025-12-06 21:36:41.557
97,5180,16,20230625,2025-12-06 21:36:41.557
98,8084,5,20210817,2025-12-06 21:36:41.557
99,2481,12,20220707,2025-12-06 21:36:41.557
100,6743,19,20210928,2025-12-06 21:36:41.557
101,6901,21,20211212,2025-12-06 21:36:41.557
102,5639,21,20240925,2025-12-06 21:36:41.557
103,10228,18,20240813,2025-12-06 21:36:41.557
104,3850,4,20220830,2025-12-06 21:36:41.557
105,8572,16,20240628,2025-12-06 21:36:41.557
