"sk_prodi","nama_prodi","fakultas","jenjang","tahun","total_anggaran","total_dosen"
1,Rekayasa Instrumentasi dan Automasi,FTI,S1,2020,266670747.68,
1,Rekayasa Instrumentasi dan Automasi,FTI,S1,2021,196844864.97,
1,Rekayasa Instrumentasi dan Automasi,FTI,S1,2024,172428659.41,
2,Rekayasa Kehutanan,FTI,S1,2020,76525101.81,
2,Rekayasa Kehutanan,FTI,S1,2023,111242917.98,
2,Rekayasa Kehutanan,FTI,S1,2024,172491252.7,
3,Rekayasa Keolahragaan,FTI,S1,2021,112089284.91,
4,Rekayasa Kosmetik,FTI,S1,2021,192803641.58,
4,Rekayasa Kosmetik,FTI,S1,2024,212877183.93,
5,Rekayasa Minyak dan Gas,FTI,S1,2020,91263056.91,
5,Rekayasa Minyak dan Gas,FTI,S1,2022,73598459.27,
5,Rekayasa Minyak dan Gas,FTI,S1,2023,134495507.12,
5,Rekayasa Minyak dan Gas,FTI,S1,2024,147182026.03,
6,Teknik Biomedis,FTI,S1,2021,275086517.66,
6,Teknik Biomedis,FTI,S1,2022,140750857.97,
6,Teknik Biomedis,FTI,S1,2023,236872768.5,
7,Teknik Biosistem,FTI,S1,2021,575406734.14,
7,Teknik Biosistem,FTI,S1,2024,495442642.67999995,
8,Teknik Elektro,FTI,S1,2020,112830457.96,
8,Teknik Elektro,FTI,S1,2022,175379984,
8,Teknik Elektro,FTI,S1,2023,140164875.51999998,
8,Teknik Elektro,FTI,S1,2024,422970941.86,
9,Teknik Fisika,FTI,S1,2020,59981422.27,
9,Teknik Fisika,FTI,S1,2024,88872229.8,
10,Teknik Geofisika,FTI,S1,2020,228892139.25,
10,Teknik Geofisika,FTI,S1,2021,280711901.37,
10,Teknik Geofisika,FTI,S1,2022,215506412.48000002,
10,Teknik Geofisika,FTI,S1,2024,394295413.26,
11,Teknik Geologi,FTI,S1,2020,231603636.31,
11,Teknik Geologi,FTI,S1,2021,319878498.76,
11,Teknik Geologi,FTI,S1,2023,281872663.71000004,
11,Teknik Geologi,FTI,S1,2024,159914852.16,
12,Teknik Industri,FTI,S1,2020,250779232.44,
12,Teknik Industri,FTI,S1,2021,212492450.95,
12,Teknik Industri,FTI,S1,2022,122083903.15,
12,Teknik Industri,FTI,S1,2024,323031176.36,
13,Teknik Informatika,FTI,S1,2022,151951003.28,
13,Teknik Informatika,FTI,S1,2024,105222534.87,
14,Teknik Kimia,FTI,S1,2020,207739859.03,
14,Teknik Kimia,FTI,S1,2022,271756186.69,
14,Teknik Kimia,FTI,S1,2023,290897053.97,
15,Teknik Material,FTI,S1,2021,258536403.01,
15,Teknik Material,FTI,S1,2022,252762289.32999998,
15,Teknik Material,FTI,S1,2023,80481138.99,
15,Teknik Material,FTI,S1,2024,71749364.83,
16,Teknik Mesin,FTI,S1,2020,52201885.26,
16,Teknik Mesin,FTI,S1,2022,191444824.35,
16,Teknik Mesin,FTI,S1,2024,381302282.52,
17,Teknik Pertambangan,FTI,S1,2020,374954468.56,
17,Teknik Pertambangan,FTI,S1,2021,58835377.28,
17,Teknik Pertambangan,FTI,S1,2023,171519331,11
18,Teknik Sistem Energi,FTI,S1,2020,277170505.62,
18,Teknik Sistem Energi,FTI,S1,2021,144882416.69,
18,Teknik Sistem Energi,FTI,S1,2024,294220954.90999997,
19,Teknik Telekomunikasi,FTI,S1,2020,69984456.09,
19,Teknik Telekomunikasi,FTI,S1,2021,190435085.18,
19,Teknik Telekomunikasi,FTI,S1,2022,366740822.23,
19,Teknik Telekomunikasi,FTI,S1,2023,99144569.25,
20,Teknik Industri Pertanian,FTI,S1,2020,60691611.18,
20,Teknik Industri Pertanian,FTI,S1,2021,167937474.24,
20,Teknik Industri Pertanian,FTI,S1,2023,197121539.6,
20,Teknik Industri Pertanian,FTI,S1,2024,143620723.74,
21,Teknologi Pangan,FTI,S1,2022,203942764.85,
21,Teknologi Pangan,FTI,S1,2023,64835528.95,
