"sk_mahasiswa","nim","nama_mahasiswa","ipk","nama_prodi","fakultas","jenjang","tahun","total_prestasi","jumlah_event","tahun_prestasi_pertama","tahun_prestasi_terbaru"
159,20000159,Mahasiswa 159,,Teknik Material,FTI,S1,2024,1,1,2024,2024
244,20000244,Mahasiswa 244,,Teknik Material,FTI,S1,2024,1,1,2024,2024
246,20000246,Mahasiswa 246,3.37,Teknik Sistem Energi,FTI,S1,2021,1,1,2021,2021
327,20000327,Mahasiswa 327,,Teknik Biosistem,FTI,S1,2020,1,1,2020,2020
508,20000508,Mahasiswa 508,,Teknik Fisika,FTI,S1,2020,1,1,2020,2020
511,20000511,Mahasiswa 511,,Rekayasa Kehutanan,FTI,S1,2023,1,1,2023,2023
678,20000678,Mahasiswa 678,,Teknik Pertambangan,FTI,S1,2024,1,1,2024,2024
686,20000686,Mahasiswa 686,,Teknik Informatika,FTI,S1,2023,1,1,2023,2023
994,20000994,Mahasiswa 994,,Teknik Pertambangan,FTI,S1,2022,1,1,2022,2022
1025,20001025,Mahasiswa 1025,,Teknik Biomedis,FTI,S1,2022,1,1,2022,2022
1026,20001026,Mahasiswa 1026,,Rekayasa Instrumentasi dan Automasi,FTI,S1,2023,1,1,2023,2023
1048,20001048,Mahasiswa 1048,,Teknik Pertambangan,FTI,S1,2020,1,1,2020,2020
1223,20001223,Mahasiswa 1223,,Rekayasa Keolahragaan,FTI,S1,2021,1,1,2021,2021
1319,20001319,Mahasiswa 1319,,Teknik Mesin,FTI,S1,2023,1,1,2023,2023
1325,20001325,Mahasiswa 1325,,Rekayasa Minyak dan Gas,FTI,S1,2021,1,1,2021,2021
1435,20001435,Mahasiswa 1435,,Rekayasa Minyak dan Gas,FTI,S1,2020,1,1,2020,2020
1767,20001767,Mahasiswa 1767,,Teknik Industri,FTI,S1,2021,1,1,2021,2021
1838,20001838,Mahasiswa 1838,,Rekayasa Instrumentasi dan Automasi,FTI,S1,2020,1,1,2020,2020
1973,20001973,Mahasiswa 1973,,Teknik Geologi,FTI,S1,2022,1,1,2022,2022
2185,21000083,Mahasiswa 2185,,Rekayasa Minyak dan Gas,FTI,S1,2020,1,1,2020,2020
2194,21000092,Mahasiswa 2194,,Teknik Industri,FTI,S1,2020,1,1,2020,2020
2376,21000274,Mahasiswa 2376,,Teknik Pertambangan,FTI,S1,2024,1,1,2024,2024
2420,21000318,Mahasiswa 2420,,Teknik Material,FTI,S1,2020,1,1,2020,2020
2438,21000336,Mahasiswa 2438,,Teknik Sistem Energi,FTI,S1,2024,1,1,2024,2024
2453,21000351,Mahasiswa 2453,,Teknik Elektro,FTI,S1,2024,1,1,2024,2024
2481,21000379,Mahasiswa 2481,,Teknik Industri,FTI,S1,2022,1,1,2022,2022
2595,21000493,Mahasiswa 2595,,Teknik Pertambangan,FTI,S1,2022,1,1,2022,2022
2648,21000546,Mahasiswa 2648,,Rekayasa Kehutanan,FTI,S1,2022,1,1,2022,2022
2956,21000854,Mahasiswa 2956,,Teknik Informatika,FTI,S1,2020,1,1,2020,2020
3052,21000950,Mahasiswa 3052,,Teknik Informatika,FTI,S1,2022,1,1,2022,2022
3252,21001150,Mahasiswa 3252,,Teknik Material,FTI,S1,2021,1,1,2021,2021
3260,21001158,Mahasiswa 3260,,Rekayasa Minyak dan Gas,FTI,S1,2022,1,1,2022,2022
3341,21001239,Mahasiswa 3341,,Rekayasa Keolahragaan,FTI,S1,2023,1,1,2023,2023
3401,21001299,Mahasiswa 3401,,Teknik Material,FTI,S1,2020,1,1,2020,2020
3606,21001504,Mahasiswa 3606,,Teknik Industri Pertanian,FTI,S1,2023,1,1,2023,2023
3730,21001628,Mahasiswa 3730,,Rekayasa Instrumentasi dan Automasi,FTI,S1,2021,1,1,2021,2021
3755,21001653,Mahasiswa 3755,,Rekayasa Minyak dan Gas,FTI,S1,2023,1,1,2023,2023
3845,21001743,Mahasiswa 3845,,Teknik Telekomunikasi,FTI,S1,2024,1,1,2024,2024
3850,21001748,Mahasiswa 3850,,Rekayasa Kosmetik,FTI,S1,2022,1,1,2022,2022
4047,21001945,Mahasiswa 4047,,Teknik Telekomunikasi,FTI,S1,2022,1,1,2022,2022
