"sk_prodi","nama_prodi","fakultas","jenjang","tahun","total_mahasiswa","total_mahasiswa_berprestasi","total_prestasi","total_anggaran","rata_rata_ipk","total_dosen"
1,Rekayasa Instrumentasi dan Automasi,FTI,S1,2020,466,1,1,266670747.68,3.36,5
2,Rekayasa Kehutanan,FTI,S1,2020,474,1,1,76525101.81,3.25,11
3,Rekayasa Keolahragaan,FTI,S1,2020,529,0,0,0.0,3.21,5
4,Rekayasa Kosmetik,FTI,S1,2020,528,1,1,0.0,3.52,12
5,Rekayasa Minyak dan Gas,FTI,S1,2020,527,3,3,91263056.91,2.75,9
6,Teknik Biomedis,FTI,S1,2020,474,0,0,0.0,3.3,9
7,Teknik Biosistem,FTI,S1,2020,489,1,1,0.0,2.77,8
8,Teknik Elektro,FTI,S1,2020,480,0,0,112830457.96,3.32,8
9,Teknik Fisika,FTI,S1,2020,503,1,1,59981422.27,3.47,6
10,Teknik Geofisika,FTI,S1,2020,494,0,0,228892139.25,3.11,5
11,Teknik Geologi,FTI,S1,2020,497,2,2,231603636.31,2.74,9
12,Teknik Industri,FTI,S1,2020,514,1,1,250779232.44,2.57,6
13,Teknik Informatika,FTI,S1,2020,528,2,2,0.0,3.02,9
14,Teknik Kimia,FTI,S1,2020,481,3,3,207739859.03,3.41,9
15,Teknik Material,FTI,S1,2020,523,3,3,0.0,3.25,5
16,Teknik Mesin,FTI,S1,2020,525,0,0,52201885.26,2.93,10
17,Teknik Pertambangan,FTI,S1,2020,508,3,3,374954468.56,2.92,7
18,Teknik Sistem Energi,FTI,S1,2020,491,0,0,277170505.62,2.95,5
19,Teknik Telekomunikasi,FTI,S1,2020,489,1,1,69984456.09,2.82,5
20,Teknik Industri Pertanian,FTI,S1,2020,482,0,0,60691611.18,3.45,9
21,Teknologi Pangan,FTI,S1,2020,508,0,0,0.0,3.26,14
1,Rekayasa Instrumentasi dan Automasi,FTI,S1,2021,466,1,1,196844864.97,3.09,13
2,Rekayasa Kehutanan,FTI,S1,2021,474,3,3,0.0,2.66,14
3,Rekayasa Keolahragaan,FTI,S1,2021,529,1,1,112089284.91,3.3,10
4,Rekayasa Kosmetik,FTI,S1,2021,528,0,0,192803641.58,3.14,10
5,Rekayasa Minyak dan Gas,FTI,S1,2021,527,3,3,0.0,2.91,10
6,Teknik Biomedis,FTI,S1,2021,474,0,0,275086517.66,3.07,12
7,Teknik Biosistem,FTI,S1,2021,489,0,0,575406734.14,3.22,5
8,Teknik Elektro,FTI,S1,2021,480,0,0,0.0,3.11,8
9,Teknik Fisika,FTI,S1,2021,503,1,1,0.0,3.04,5
10,Teknik Geofisika,FTI,S1,2021,494,2,2,280711901.37,3.18,8
11,Teknik Geologi,FTI,S1,2021,497,3,3,319878498.76,3.5,6
12,Teknik Industri,FTI,S1,2021,514,2,2,212492450.95,3.18,5
13,Teknik Informatika,FTI,S1,2021,528,1,1,0.0,2.7,16
14,Teknik Kimia,FTI,S1,2021,481,1,1,0.0,2.93,10
15,Teknik Material,FTI,S1,2021,523,2,2,258536403.01,3.31,5
