"source_file","kode_prodi","tahun","jumlah_mahasiswa_baru","rata_rata_ipk","extract_ts","row_hash"
dummy_akademik.csv,P12,2024,906,3.39,2025-12-06 21:36:41.573,
dummy_akademik.csv,P16,2020,577,2.93,2025-12-06 21:36:41.573,
dummy_akademik.csv,P15,2022,544,2.79,2025-12-06 21:36:41.573,
dummy_akademik.csv,P10,2023,367,2.81,2025-12-06 21:36:41.573,
dummy_akademik.csv,P13,2024,905,2.79,2025-12-06 21:36:41.573,
dummy_akademik.csv,P16,2022,929,2.97,2025-12-06 21:36:41.573,
dummy_akademik.csv,P03,2021,848,3.3,2025-12-06 21:36:41.573,
dummy_akademik.csv,P04,2020,232,3.52,2025-12-06 21:36:41.573,
dummy_akademik.csv,P18,2022,945,3.38,2025-12-06 21:36:41.573,
dummy_akademik.csv,P05,2020,688,2.75,2025-12-06 21:36:41.573,
dummy_akademik.csv,P06,2020,470,3.3,2025-12-06 21:36:41.573,
dummy_akademik.csv,P10,2022,459,3.29,2025-12-06 21:36:41.573,
dummy_akademik.csv,P04,2023,994,3.32,2025-12-06 21:36:41.573,
dummy_akademik.csv,P12,2023,448,2.19,2025-12-06 21:36:41.573,
dummy_akademik.csv,P17,2020,785,2.92,2025-12-06 21:36:41.573,
dummy_akademik.csv,P20,2020,524,3.45,2025-12-06 21:36:41.573,
dummy_akademik.csv,P17,2021,545,3.06,2025-12-06 21:36:41.573,
dummy_akademik.csv,P02,2024,401,2.95,2025-12-06 21:36:41.573,
dummy_akademik.csv,P08,2021,949,3.11,2025-12-06 21:36:41.573,
dummy_akademik.csv,P03,2024,231,3.16,2025-12-06 21:36:41.573,
dummy_akademik.csv,P13,2023,316,3.42,2025-12-06 21:36:41.573,
dummy_akademik.csv,P01,2022,337,3.36,2025-12-06 21:36:41.573,
dummy_akademik.csv,P02,2020,769,3.25,2025-12-06 21:36:41.573,
dummy_akademik.csv,P17,2022,558,3.24,2025-12-06 21:36:41.573,
dummy_akademik.csv,P03,2022,627,3.37,2025-12-06 21:36:41.573,
dummy_akademik.csv,P18,2024,707,3.0,2025-12-06 21:36:41.573,
dummy_akademik.csv,P14,2021,223,2.93,2025-12-06 21:36:41.573,
dummy_akademik.csv,P01,2023,317,2.91,2025-12-06 21:36:41.573,
dummy_akademik.csv,P06,2023,556,3.14,2025-12-06 21:36:41.573,
dummy_akademik.csv,P10,2024,901,3.2,2025-12-06 21:36:41.573,
dummy_akademik.csv,P19,2020,272,2.82,2025-12-06 21:36:41.573,
dummy_akademik.csv,P20,2022,1143,2.84,2025-12-06 21:36:41.573,
dummy_akademik.csv,P12,2021,723,3.18,2025-12-06 21:36:41.573,
dummy_akademik.csv,P19,2023,319,2.92,2025-12-06 21:36:41.573,
dummy_akademik.csv,P12,2022,1006,3.05,2025-12-06 21:36:41.573,
dummy_akademik.csv,P09,2020,719,3.47,2025-12-06 21:36:41.573,
dummy_akademik.csv,P02,2023,450,3.52,2025-12-06 21:36:41.573,
dummy_akademik.csv,P13,2020,1036,3.02,2025-12-06 21:36:41.573,
dummy_akademik.csv,P09,2023,659,3.12,2025-12-06 21:36:41.573,
dummy_akademik.csv,P10,2020,439,3.11,2025-12-06 21:36:41.573,
dummy_akademik.csv,P03,2023,358,3.02,2025-12-06 21:36:41.573,
dummy_akademik.csv,P10,2021,949,3.18,2025-12-06 21:36:41.573,
dummy_akademik.csv,P04,2021,817,3.14,2025-12-06 21:36:41.573,
dummy_akademik.csv,P19,2022,598,3.02,2025-12-06 21:36:41.573,
dummy_akademik.csv,P01,2020,1143,3.36,2025-12-06 21:36:41.573,
dummy_akademik.csv,P04,2022,288,2.45,2025-12-06 21:36:41.573,
dummy_akademik.csv,P18,2021,979,3.37,2025-12-06 21:36:41.573,
dummy_akademik.csv,P20,2023,850,3.19,2025-12-06 21:36:41.573,
dummy_akademik.csv,P11,2024,900,2.97,2025-12-06 21:36:41.573,
dummy_akademik.csv,P17,2024,1153,3.12,2025-12-06 21:36:41.573,
dummy_akademik.csv,P19,2024,571,3.74,2025-12-06 21:36:41.573,
dummy_akademik.csv,P07,2023,478,3.53,2025-12-06 21:36:41.573,
dummy_akademik.csv,P18,2023,730,3.45,2025-12-06 21:36:41.573,
dummy_akademik.csv,P15,2020,697,3.25,2025-12-06 21:36:41.573,
dummy_akademik.csv,P14,2020,724,3.41,2025-12-06 21:36:41.573,
dummy_akademik.csv,P20,2024,238,3.37,2025-12-06 21:36:41.573,
dummy_akademik.csv,P15,2023,237,3.68,2025-12-06 21:36:41.573,
dummy_akademik.csv,P11,2020,585,2.74,2025-12-06 21:36:41.573,
dummy_akademik.csv,P11,2021,828,3.5,2025-12-06 21:36:41.573,
dummy_akademik.csv,P14,2022,967,3.0,2025-12-06 21:36:41.573,
dummy_akademik.csv,P05,2022,1055,2.75,2025-12-06 21:36:41.573,
dummy_akademik.csv,P16,2023,724,3.25,2025-12-06 21:36:41.573,
dummy_akademik.csv,P07,2021,990,3.22,2025-12-06 21:36:41.573,
dummy_akademik.csv,P21,2021,497,3.29,2025-12-06 21:36:41.573,
dummy_akademik.csv,P11,2023,1080,2.71,2025-12-06 21:36:41.573,
dummy_akademik.csv,P01,2021,916,3.09,2025-12-06 21:36:41.573,
dummy_akademik.csv,P19,2021,703,3.48,2025-12-06 21:36:41.573,
dummy_akademik.csv,P09,2024,684,3.26,2025-12-06 21:36:41.573,
dummy_akademik.csv,P07,2024,970,3.2,2025-12-06 21:36:41.573,
dummy_akademik.csv,P15,2024,558,3.18,2025-12-06 21:36:41.573,
dummy_akademik.csv,P09,2022,612,3.24,2025-12-06 21:36:41.573,
dummy_akademik.csv,P18,2020,576,2.95,2025-12-06 21:36:41.573,
dummy_akademik.csv,P14,2023,856,3.16,2025-12-06 21:36:41.573,
dummy_akademik.csv,P21,2023,795,2.99,2025-12-06 21:36:41.573,
dummy_akademik.csv,P06,2021,300,3.07,2025-12-06 21:36:41.573,
dummy_akademik.csv,P05,2024,915,3.18,2025-12-06 21:36:41.573,
dummy_akademik.csv,P14,2024,981,3.22,2025-12-06 21:36:41.573,
dummy_akademik.csv,P21,2020,439,3.26,2025-12-06 21:36:41.573,
dummy_akademik.csv,P08,2022,780,3.67,2025-12-06 21:36:41.573,
dummy_akademik.csv,P01,2024,419,2.97,2025-12-06 21:36:41.573,
dummy_akademik.csv,P13,2022,1195,3.23,2025-12-06 21:36:41.573,
dummy_akademik.csv,P16,2021,1138,3.09,2025-12-06 21:36:41.573,
dummy_akademik.csv,P07,2020,738,2.77,2025-12-06 21:36:41.573,
dummy_akademik.csv,P08,2020,823,3.32,2025-12-06 21:36:41.573,
dummy_akademik.csv,P08,2023,1035,3.12,2025-12-06 21:36:41.573,
dummy_akademik.csv,P06,2022,422,3.13,2025-12-06 21:36:41.573,
dummy_akademik.csv,P20,2021,1172,2.79,2025-12-06 21:36:41.573,
dummy_akademik.csv,P16,2024,676,3.27,2025-12-06 21:36:41.573,
dummy_akademik.csv,P07,2022,744,2.67,2025-12-06 21:36:41.573,
dummy_akademik.csv,P13,2021,342,2.7,2025-12-06 21:36:41.573,
dummy_akademik.csv,P17,2023,1073,3.04,2025-12-06 21:36:41.573,
dummy_akademik.csv,P03,2020,288,3.21,2025-12-06 21:36:41.573,
dummy_akademik.csv,P21,2022,1059,2.99,2025-12-06 21:36:41.573,
dummy_akademik.csv,P09,2021,564,3.04,2025-12-06 21:36:41.573,
dummy_akademik.csv,P04,2024,871,3.38,2025-12-06 21:36:41.573,
dummy_akademik.csv,P02,2021,267,2.66,2025-12-06 21:36:41.573,
dummy_akademik.csv,P05,2023,690,3.27,2025-12-06 21:36:41.573,
dummy_akademik.csv,P06,2024,1108,3.0,2025-12-06 21:36:41.573,
dummy_akademik.csv,P12,2020,460,2.57,2025-12-06 21:36:41.573,
dummy_akademik.csv,P21,2024,220,3.17,2025-12-06 21:36:41.573,
dummy_akademik.csv,P08,2024,1033,3.21,2025-12-06 21:36:41.573,
dummy_akademik.csv,P11,2022,503,3.16,2025-12-06 21:36:41.573,
dummy_akademik.csv,P15,2021,384,3.31,2025-12-06 21:36:41.573,
dummy_akademik.csv,P05,2021,880,2.91,2025-12-06 21:36:41.573,
dummy_akademik.csv,P02,2022,561,3.54,2025-12-06 21:36:41.573,
