"source_file","id_akreditasi","id_prodi","status_akreditasi","nilai_akreditasi","lembaga","tahun","extract_ts","row_hash"
dummy_akreditasi.csv,AK000005,P20,Unggul,3.37,LAM Teknik,2024,2025-12-06 21:36:41.570,
dummy_akreditasi.csv,AK000016,P12,C,3.35,BAN-PT,2023,2025-12-06 21:36:41.570,
dummy_akreditasi.csv,AK000019,P05,C,3.19,BAN-PT,2020,2025-12-06 21:36:41.570,
dummy_akreditasi.csv,AK000012,P17,Unggul,2.09,BAN-PT,2020,2025-12-06 21:36:41.570,
dummy_akreditasi.csv,AK000013,P19,B,3.4,LAM Teknik,2020,2025-12-06 21:36:41.570,
dummy_akreditasi.csv,AK000007,P08,Unggul,3.96,Lainnya,2023,2025-12-06 21:36:41.570,
dummy_akreditasi.csv,AK000011,P02,C,2.3,Lainnya,2021,2025-12-06 21:36:41.570,
dummy_akreditasi.csv,AK000008,P14,Unggul,2.6,Lainnya,2021,2025-12-06 21:36:41.570,
dummy_akreditasi.csv,AK000015,P14,Unggul,2.92,LAM Teknik,2022,2025-12-06 21:36:41.570,
dummy_akreditasi.csv,AK000004,P03,C,2.37,LAM Teknik,2021,2025-12-06 21:36:41.570,
dummy_akreditasi.csv,AK000002,P05,A,3.43,Lainnya,2021,2025-12-06 21:36:41.570,
dummy_akreditasi.csv,AK000001,P18,C,2.83,BAN-PT,2023,2025-12-06 21:36:41.570,
dummy_akreditasi.csv,AK000003,P15,B,3.74,Lainnya,2024,2025-12-06 21:36:41.570,
dummy_akreditasi.csv,AK000021,P10,Unggul,2.4,Lainnya,2020,2025-12-06 21:36:41.570,
dummy_akreditasi.csv,AK000014,P18,B,3.46,LAM Teknik,2023,2025-12-06 21:36:41.570,
dummy_akreditasi.csv,AK000009,P03,B,2.01,BAN-PT,2023,2025-12-06 21:36:41.570,
dummy_akreditasi.csv,AK000018,P02,C,3.26,BAN-PT,2023,2025-12-06 21:36:41.570,
dummy_akreditasi.csv,AK000010,P15,B,3.03,Lainnya,2023,2025-12-06 21:36:41.570,
dummy_akreditasi.csv,AK000020,P10,B,3.33,Lainnya,2020,2025-12-06 21:36:41.570,
dummy_akreditasi.csv,AK000006,P03,A,2.71,BAN-PT,2024,2025-12-06 21:36:41.570,
dummy_akreditasi.csv,AK000017,P21,Unggul,3.08,LAM Teknik,2023,2025-12-06 21:36:41.570,
