"source_file","id_prestasi","nim","kode_prodi","tanggal_prestasi","extract_ts","row_hash"
dummy_prestasi.csv,PR000083,20001025,P06,2022-04-27 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000023,24001135,P02,2023-02-13 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000018,23001757,P02,2024-08-05 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000082,21001628,P01,2021-12-02 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000090,21000092,P12,2020-02-17 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000081,23000368,P07,2024-04-14 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000066,22000820,P20,2022-11-03 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000008,20000244,P15,2024-09-15 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000078,21001504,P20,2023-04-09 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000059,21000950,P13,2022-07-07 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000050,20000678,P17,2024-11-10 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000042,21000336,P18,2024-11-03 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000074,24001228,P21,2021-03-26 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000036,20001435,P05,2020-01-26 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000093,23000241,P17,2022-07-28 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000006,23000714,P14,2021-12-12 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000068,20001973,P11,2022-07-18 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000054,22000378,P19,2024-04-16 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000063,23001091,P06,2023-03-10 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000096,23000397,P15,2023-12-11 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000094,24000856,P02,2021-01-29 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000030,20001319,P16,2023-01-16 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000041,23001073,P19,2022-10-05 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000064,23001004,P10,2022-07-25 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000015,23000239,P11,2021-02-25 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000005,24000965,P13,2021-08-10 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000037,23001249,P13,2020-12-11 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000080,21000546,P02,2022-05-16 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000043,22000349,P03,2022-11-27 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000055,20000246,P18,2021-06-13 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000062,21000318,P15,2020-07-25 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000048,20001026,P01,2023-05-13 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000007,23001985,P05,2020-08-07 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000016,23000916,P15,2021-12-03 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000026,21001743,P19,2024-05-07 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000012,23000783,P17,2020-07-29 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000020,24001196,P13,2024-06-26 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000077,24001539,P09,2021-02-21 00:00:00.000,2025-12-06 21:36:41.567,
dummy_prestasi.csv,PR000079,24000230,P16,2023-05-11 00:00:00.000,2025-12-06 21:36:41.567,
